C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     1              2              21             22      
        Time(s) ANGL 2[BUS 2 1 ANGL 3[BUS 3 1 VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       8.000]1        3.800]1        18.000]        13.800]
        2.18333        -94.794       -81.0434       0.968321        1.07349
        2.19167       -94.8186       -81.0677       0.968314        1.07348
            2.2       -94.8433       -81.0921       0.968306        1.07347
        2.20833       -94.8681       -81.1166       0.968299        1.07347
        2.21667       -94.8931       -81.1412       0.968292        1.07346
          2.225       -94.9181       -81.1659       0.968285        1.07346
        2.23333       -94.9432       -81.1908       0.968278        1.07345
        2.24167       -94.9684       -81.2157       0.968272        1.07344
           2.25       -94.9936       -81.2407       0.968265        1.07344
        2.25834        -95.019       -81.2658       0.968259        1.07343
        2.26667       -95.0445        -81.291       0.968252        1.07343
          2.275       -95.0701       -81.3163       0.968246        1.07342
        2.28334       -95.0958       -81.3417       0.968239        1.07342
        2.29167       -95.1216       -81.3672       0.968233        1.07341
            2.3       -95.1474       -81.3928       0.968227        1.07341
        2.30834       -95.1734       -81.4185       0.968221         1.0734
        2.31667       -95.1995       -81.4442       0.968215        1.07339
          2.325       -95.2256       -81.4701       0.968209        1.07339
        2.33334       -95.2519       -81.4961       0.968203        1.07338
        2.34167       -95.2782       -81.5222       0.968197        1.07338
           2.35       -95.3047       -81.5484       0.968192        1.07337
        2.35834       -95.3312       -81.5746       0.968186        1.07337
        2.36667       -95.3578        -81.601       0.968181        1.07337
          2.375       -95.3845       -81.6275       0.968175        1.07336
        2.38334       -95.4113        -81.654        0.96817        1.07336
        2.39167       -95.4382       -81.6807       0.968165        1.07335
            2.4       -95.4652       -81.7074        0.96816        1.07335
        2.40834       -95.4923       -81.7343       0.968155        1.07334
        2.41667       -95.5195       -81.7612        0.96815        1.07334
          2.425       -95.5468       -81.7882       0.968145        1.07333
        2.43334       -95.5742       -81.8153       0.968141        1.07333
        2.44167       -95.6016       -81.8426       0.968136        1.07333
           2.45       -95.6292       -81.8699       0.968132        1.07332
        2.45834       -95.6568       -81.8973       0.968127        1.07332
        2.46667       -95.6845       -81.9248       0.968123        1.07331
          2.475       -95.7124       -81.9524       0.968119        1.07331
        2.48334       -95.7403         -81.98       0.968114        1.07331
        2.49167       -95.7683       -82.0078       0.968111         1.0733
        2.50001       -95.7964       -82.0357       0.968107         1.0733
        2.50834       -95.8246       -82.0636       0.968103         1.0733
        2.51667       -95.8528       -82.0917       0.968099        1.07329
        2.52501       -95.8812       -82.1198       0.968095        1.07329
        2.53334       -95.9097       -82.1481       0.968092        1.07329
        2.54167       -95.9382       -82.1764       0.968088        1.07328
        2.55001       -95.9668       -82.2048       0.968085        1.07328
        2.55834       -95.9955       -82.2333       0.968082        1.07328
        2.56667       -96.0244       -82.2619       0.968079        1.07327
        2.57501       -96.0532       -82.2906       0.968076        1.07327
        2.58334       -96.0822       -82.3194       0.968073        1.07327
        2.59167       -96.1113       -82.3482        0.96807        1.07326
        2.60001       -96.1405       -82.3772       0.968067        1.07326
        2.60834       -96.1697       -82.4062       0.968064        1.07326
        2.61667        -96.199       -82.4354       0.968062        1.07326
        2.62501       -96.2285       -82.4646       0.968059        1.07325
        2.63334        -96.258       -82.4939       0.968057        1.07325
        2.64167       -96.2876       -82.5233       0.968055        1.07325
        2.65001       -96.3173       -82.5528       0.968053        1.07325
        2.65834        -96.347       -82.5824        0.96805        1.07324
        2.66667       -96.3769        -82.612       0.968048        1.07324
        2.67501       -96.4068       -82.6418       0.968047        1.07324
        2.68334       -96.4369       -82.6716       0.968045        1.07324
        2.69167        -96.467       -82.7016       0.968043        1.07324
        2.70001       -96.4972       -82.7316       0.968041        1.07323
        2.70834       -96.5275       -82.7617        0.96804        1.07323
        2.71667       -96.5578       -82.7919       0.968039        1.07323
        2.72501       -96.5883       -82.8222       0.968037        1.07323
        2.73334       -96.6188       -82.8526       0.968036        1.07323
        2.74167       -96.6495        -82.883       0.968035        1.07323
        2.75001       -96.6802       -82.9136       0.968034        1.07323
        2.75834        -96.711       -82.9442       0.968033        1.07322
        2.76668       -96.7418       -82.9749       0.968032        1.07322
        2.77501       -96.7728       -83.0057       0.968032        1.07322
        2.78334       -96.8038       -83.0366       0.968031        1.07322
        2.79168        -96.835       -83.0676       0.968031        1.07322
        2.80001       -96.8662       -83.0986        0.96803        1.07322
        2.80834       -96.8975       -83.1298        0.96803        1.07322
        2.81668       -96.9288        -83.161        0.96803        1.07322
        2.82501       -96.9603       -83.1923       0.968029        1.07322
        2.83334       -96.9918       -83.2237       0.968029        1.07322
        2.84168       -97.0235       -83.2552       0.968029        1.07322
        2.85001       -97.0552       -83.2868        0.96803        1.07322
        2.85834        -97.087       -83.3184        0.96803        1.07321
        2.86668       -97.1188       -83.3502        0.96803        1.07321
        2.87501       -97.1508        -83.382       0.968031        1.07321
        2.88334       -97.1828       -83.4139       0.968031        1.07321
        2.89168       -97.2149       -83.4459       0.968032        1.07321
        2.90001       -97.2471        -83.478       0.968032        1.07321
        2.90834       -97.2794       -83.5101       0.968033        1.07321
        2.91668       -97.3118       -83.5424       0.968034        1.07321
        2.92501       -97.3442       -83.5747       0.968035        1.07321
        2.93334       -97.3767       -83.6071       0.968036        1.07321
        2.94168       -97.4093       -83.6396       0.968037        1.07321
        2.95001        -97.442       -83.6722       0.968038        1.07321
        2.95834       -97.4748       -83.7048        0.96804        1.07321
        2.96668       -97.5076       -83.7376       0.968041        1.07322
        2.97501       -97.5406       -83.7704       0.968043        1.07322
        2.98334       -97.5736       -83.8033       0.968044        1.07322
        2.99168       -97.6066       -83.8363       0.968046        1.07322
        3.00001       -97.6398       -83.8693       0.968048        1.07322
        3.00835       -97.6731       -83.9025        0.96805        1.07322
        3.01668       -97.7064       -83.9357       0.968052        1.07322
        3.02501       -97.7398        -83.969       0.968054        1.07322
        3.03335       -97.7733       -84.0024       0.968056        1.07322
        3.04168       -97.8068       -84.0359       0.968058        1.07322
        3.05001       -97.8405       -84.0695        0.96806        1.07322
        3.05835       -97.8742       -84.1031       0.968063        1.07323
        3.06668        -97.908       -84.1368       0.968065        1.07323
        3.07501       -97.9419       -84.1706       0.968068        1.07323
        3.08335       -97.9758       -84.2045        0.96807        1.07323
        3.09168       -98.0099       -84.2384       0.968073        1.07323
        3.10001        -98.044       -84.2725       0.968076        1.07323
        3.10835       -98.0782       -84.3066       0.968079        1.07323
        3.11668       -98.1124       -84.3408       0.968082        1.07324
        3.12501       -98.1468       -84.3751       0.968085        1.07324
        3.13335       -98.1812       -84.4094       0.968088        1.07324
        3.14168       -98.2157       -84.4439       0.968091        1.07324
        3.15001       -98.2503       -84.4784       0.968094        1.07324
        3.15835       -98.2849        -84.513       0.968097        1.07325
        3.16668       -98.3197       -84.5477       0.968101        1.07325
        3.17501       -98.3545       -84.5824       0.968104        1.07325
        3.18335       -98.3894       -84.6173       0.968108        1.07325
        3.19168       -98.4243       -84.6522       0.968112        1.07325
        3.20001       -98.4594       -84.6872       0.968115        1.07326
        3.20835       -98.4945       -84.7223       0.968119        1.07326
        3.21668       -98.5297       -84.7574       0.968123        1.07326
        3.22501       -98.5649       -84.7926       0.968127        1.07326
        3.23335       -98.6003       -84.8279       0.968131        1.07327
        3.24168       -98.6357       -84.8633       0.968135        1.07327
        3.25002       -98.6712       -84.8988       0.968139        1.07327
        3.25835       -98.7068       -84.9343       0.968143        1.07327
        3.26668       -98.7424         -84.97       0.968148        1.07328
        3.27502       -98.7782       -85.0057       0.968152        1.07328
        3.28335        -98.814       -85.0414       0.968156        1.07328
        3.29168       -98.8498       -85.0773       0.968161        1.07328
        3.30002       -98.8858       -85.1132       0.968166        1.07329
        3.30835       -98.9218       -85.1492        0.96817        1.07329
        3.31668       -98.9579       -85.1853       0.968175        1.07329
        3.32502       -98.9941       -85.2215        0.96818         1.0733
        3.33335       -99.0304       -85.2577       0.968184         1.0733
        3.34168       -99.0667       -85.2941       0.968189         1.0733
        3.35002       -99.1031       -85.3305       0.968194        1.07331
        3.35835       -99.1396       -85.3669       0.968199        1.07331
        3.36668       -99.1762       -85.4035       0.968204        1.07331
        3.37502       -99.2128       -85.4401        0.96821        1.07332
        3.38335       -99.2495       -85.4768       0.968215        1.07332
        3.39168       -99.2863       -85.5136        0.96822        1.07332
        3.40002       -99.3231       -85.5505       0.968225        1.07333
        3.40835       -99.3601       -85.5874       0.968231        1.07333
        3.41668       -99.3971       -85.6244       0.968236        1.07334
        3.42502       -99.4341       -85.6615       0.968242        1.07334
        3.43335       -99.4713       -85.6987       0.968247        1.07334
        3.44168       -99.5085       -85.7359       0.968253        1.07335
        3.45002       -99.5458       -85.7732       0.968258        1.07335
        3.45835       -99.5832       -85.8106       0.968264        1.07335
        3.46668       -99.6207       -85.8481        0.96827        1.07336
        3.47502       -99.6582       -85.8856       0.968276        1.07336
        3.48335       -99.6958       -85.9232       0.968281        1.07337
        3.49168       -99.7334       -85.9609       0.968287        1.07337
        3.50002       -99.7712       -85.9987       0.968293        1.07337
        3.50835        -99.809       -86.0365       0.968299        1.07338
        3.51669       -99.8469       -86.0744       0.968305        1.07338
        3.52502       -99.8849       -86.1124       0.968312        1.07339
        3.53335       -99.9229       -86.1505       0.968318        1.07339
        3.54169        -99.961       -86.1887       0.968324         1.0734
